ID,Phenotype
9941,42.5
9942,110.667
9943,61.5
9944,68
9945,110
9946,54.5
9947,125
9949,61.5
9950,86.25
9951,109.667
9952,104.333
9953,93.25
9954,104.75
9955,73
9956,61
9957,85
9958,76.5
9959,78.75
9960,66.667
9961,81.5
9962,71.75
9963,66.667
9964,64.5
9965,56
9966,80
9967,67.333
9968,57.75
9969,69.25
997,87.5
9970,81.75
9971,61
9972,58.75
9973,110
9974,93.5
9975,82.333
9976,72.5
9977,91.75
9978,94.5
9979,68.5
9980,60.5
9981,55.5
9982,79.25
9983,58.5
9984,56
9985,63.5
9986,86
9987,82.25
9988,112.333
9989,111
9990,75
9991,92.75
9992,95.75
9993,119.667
9994,54.5
9995,41.75
9996,38.25
9997,51.5
9998,46.25
9999,54.25
